کد استان,نام استان,کد شهرستان,نام شهرستان,کد بخش,نام بخش,کد دهستان/ شهر,نام دهستان/ شهر,CODEREC,نام,FARICODE,DIAG
00,مرکزی,,,,,,,1,مرکزی,,
00,مرکزی,01,اراک,,,,,2,اراک,,
00,مرکزی,05,دلیجان,,,,,2,دلیجان,,
00,مرکزی,02,آشتیان,,,,,2,آشتیان,,
00,مرکزی,03,تفرش,,,,,2,تفرش,,
00,مرکزی,04,خمین,,,,,2,خمین,,
00,مرکزی,09,محلات,,,,,2,محلات,,
00,مرکزی,07,شازند,,,,,2,شازند,,
00,مرکزی,06,ساوه,,,,,2,ساوه,,
00,مرکزی,10,زرندیه,,,,,2,زرندیه,,
00,مرکزی,11,کمیجان,,,,,2,کمیجان,,
00,مرکزی,12,خنداب,,,,,2,خنداب,,
00,مرکزی,13,فراهان,,,,,2,فراهان,,
00,مرکزی,01,اراک,02,مرکزی,,,3,مرکزی,,
00,مرکزی,01,اراک,03,ساروق,,,3,ساروق,,
00,مرکزی,01,اراک,04,معصومیه,,,3,معصومیه,,
00,مرکزی,05,دلیجان,01,مرکزی,,,3,مرکزی,,
00,مرکزی,02,آشتیان,01,مرکزی,,,3,مرکزی,,
00,مرکزی,03,تفرش,02,مرکزی,,,3,مرکزی,,
00,مرکزی,04,خمین,02,کمره,,,3,کمره,,
00,مرکزی,04,خمین,01,مرکزی,,,3,مرکزی,,
00,مرکزی,09,محلات,01,مرکزی,,,3,مرکزی,,
00,مرکزی,06,ساوه,04,نوبران,,,3,نوبران,,
00,مرکزی,07,شازند,01,مرکزی,,,3,مرکزی,,
00,مرکزی,06,ساوه,03,مرکزی,,,3,مرکزی,,
00,مرکزی,07,شازند,04,قره کهریز,,,3,قره کهریز,,
00,مرکزی,07,شازند,02,سربند,,,3,سربند,,
00,مرکزی,07,شازند,03,زالیان,,,3,زالیان,,
00,مرکزی,12,خنداب,02,مرکزی,,,3,مرکزی,,
00,مرکزی,10,زرندیه,01,خرقان,,,3,خرقان,,
00,مرکزی,10,زرندیه,02,مرکزی,,,3,مرکزی,,
00,مرکزی,10,زرندیه,03,زوایه,,,3,زوایه,,
00,مرکزی,11,کمیجان,01,مرکزی,,,3,مرکزی,,
00,مرکزی,11,کمیجان,02,میلاجرد,,,3,میلاجرد,,
00,مرکزی,12,خنداب,01,قره چای,,,3,قره چای,,
00,مرکزی,13,فراهان,01,مرکزی,,,3,مرکزی,,
00,مرکزی,13,فراهان,02,خنجین,,,3,خنجین,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,4,امان آباد,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,4,امیریه,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,4,داودآباد,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,4,سده,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,4,شمس آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,4,مشهد میقان,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,4,حاجی آباد,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,4,ساروق,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,4,مشهدالکوبه,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,4,معصومیه,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,4,مشک آباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,4,مزرعه نو,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,4,صالحان,,
00,مرکزی,05,دلیجان,01,مرکزی,0001,دودهک,4,دودهک,,
00,مرکزی,02,آشتیان,01,مرکزی,0001,سیاوشان,4,سیاوشان,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,4,گرکان,,
00,مرکزی,03,تفرش,02,مرکزی,0001,بازرجان,4,بازرجان,,
00,مرکزی,04,خمین,02,کمره,0001,چهار چشمه,4,چهار چشمه,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,4,خرم دشت,,
00,مرکزی,03,تفرش,02,مرکزی,0002,رودبار,4,رودبار,,
00,مرکزی,03,تفرش,02,مرکزی,0003,خرازان,4,خرازان,,
00,مرکزی,03,تفرش,02,مرکزی,0004,کوه پناه,4,کوه پناه,,
00,مرکزی,04,خمین,01,مرکزی,0001,آشناخور,4,آشناخور,,
00,مرکزی,04,خمین,01,مرکزی,0003,حمزه لو,4,حمزه لو,,
00,مرکزی,04,خمین,01,مرکزی,0005,رستاق,4,رستاق,,
00,مرکزی,04,خمین,01,مرکزی,0007,گله زن,4,گله زن,,
00,مرکزی,07,شازند,01,مرکزی,0007,کزاز,4,کزاز,,
00,مرکزی,07,شازند,04,قره کهریز,0002,کوهسار,4,کوهسار,,
00,مرکزی,06,ساوه,04,نوبران,0001,آق کهریز,4,آق کهریز,,
00,مرکزی,07,شازند,01,مرکزی,0001,آستانه,4,آستانه,,
00,مرکزی,05,دلیجان,01,مرکزی,0002,هستیجان,4,هستیجان,,
00,مرکزی,06,ساوه,03,مرکزی,0003,قره چای,4,قره چای,,
00,مرکزی,05,دلیجان,01,مرکزی,0003,جاسب,4,جاسب,,
00,مرکزی,05,دلیجان,01,مرکزی,0004,جوشق,4,جوشق,,
00,مرکزی,06,ساوه,03,مرکزی,0001,شاهسون کندی,4,شاهسون کندی,,
00,مرکزی,07,شازند,04,قره کهریز,0001,قره کهریز,4,قره کهریز,,
00,مرکزی,06,ساوه,03,مرکزی,0002,طراز ناهید,4,طراز ناهید,,
00,مرکزی,07,شازند,02,سربند,0002,مالمیر,4,مالمیر,,
00,مرکزی,12,خنداب,02,مرکزی,0002,دهچال,4,دهچال,,
00,مرکزی,06,ساوه,03,مرکزی,0004,نورعلی بیک,4,نورعلی بیک,,
00,مرکزی,06,ساوه,04,نوبران,0002,بیات,4,بیات,,
00,مرکزی,06,ساوه,04,نوبران,0003,کوهپایه,4,کوهپایه,,
00,مرکزی,07,شازند,02,سربند,0001,هندودر,4,هندودر,,
00,مرکزی,07,شازند,03,زالیان,0001,پل دوآب,4,پل دوآب,,
00,مرکزی,07,شازند,03,زالیان,0002,زالیان,4,زالیان,,
00,مرکزی,07,شازند,03,زالیان,0003,نهرمیان,4,نهرمیان,,
00,مرکزی,09,محلات,01,مرکزی,0001,باقرآباد,4,باقرآباد,,
00,مرکزی,12,خنداب,01,قره چای,0002,جاورسیان,4,جاورسیان,,
00,مرکزی,12,خنداب,01,قره چای,0003,سنگ سفید,4,سنگ سفید,,
00,مرکزی,12,خنداب,02,مرکزی,0001,خنداب,4,خنداب,,
00,مرکزی,09,محلات,01,مرکزی,0002,خورهه,4,خورهه,,
00,مرکزی,10,زرندیه,01,خرقان,0001,الویر,4,الویر,,
00,مرکزی,10,زرندیه,01,خرقان,0002,علیشار,4,علیشار,,
00,مرکزی,10,زرندیه,01,خرقان,0003,دوزج,4,دوزج,,
00,مرکزی,10,زرندیه,02,مرکزی,0002,خشک رود,4,خشک رود,,
00,مرکزی,10,زرندیه,02,مرکزی,0003,رودشور,4,رودشور,,
00,مرکزی,10,زرندیه,03,زوایه,0001,رحمت آباد,4,رحمت آباد,,
00,مرکزی,10,زرندیه,03,زوایه,0002,حکیم آباد,4,حکیم آباد,,
00,مرکزی,11,کمیجان,01,مرکزی,0001,اسفندان,4,اسفندان,,
00,مرکزی,11,کمیجان,01,مرکزی,0004,وفس,4,وفس,,
00,مرکزی,11,کمیجان,02,میلاجرد,0001,خسروبیک,4,خسروبیک,,
00,مرکزی,11,کمیجان,02,میلاجرد,0002,میلاجرد,4,میلاجرد,,
00,مرکزی,12,خنداب,01,قره چای,0001,اناج,4,اناج,,
00,مرکزی,13,فراهان,01,مرکزی,0001,فرمهین,4,فرمهین,,
00,مرکزی,13,فراهان,01,مرکزی,0002,فشک,4,فشک,,
00,مرکزی,13,فراهان,02,خنجین,0001,خنجین,4,خنجین,,
00,مرکزی,13,فراهان,02,خنجین,0002,تلخاب,4,تلخاب,,
00,مرکزی,01,اراک,02,مرکزی,1101,اراک,5,اراک,,
00,مرکزی,01,اراک,02,مرکزی,1678,اراک 1,5,اراک 1,,
00,مرکزی,01,اراک,02,مرکزی,1679,اراک 2,5,اراک 2,,
00,مرکزی,01,اراک,02,مرکزی,1680,اراک 3,5,اراک 3,,
00,مرکزی,01,اراک,02,مرکزی,2536,داودآباد,5,داودآباد,,
00,مرکزی,01,اراک,02,مرکزی,2858,اراک 4,5,اراک 4,,
00,مرکزی,01,اراک,02,مرکزی,2859,اراک 5,5,اراک 5,,
00,مرکزی,01,اراک,03,ساروق,2074,ساروق,5,ساروق,,
00,مرکزی,04,خمین,02,کمره,2541,قورچی باشی,5,قورچی باشی,,
00,مرکزی,01,اراک,04,معصومیه,1600,کارچان,5,کارچان,,
00,مرکزی,02,آشتیان,01,مرکزی,1103,آشتیان,5,آشتیان,,
00,مرکزی,04,خمین,01,مرکزی,1105,خمین,5,خمین,,
00,مرکزی,03,تفرش,02,مرکزی,1104,تفرش,5,تفرش,,
00,مرکزی,07,شازند,04,قره کهریز,2774,شهباز,5,شهباز,,
00,مرکزی,06,ساوه,03,مرکزی,1110,ساوه,5,ساوه,,
00,مرکزی,06,ساوه,03,مرکزی,2827,آوه,5,آوه,,
00,مرکزی,06,ساوه,03,مرکزی,2860,ساوه 1,5,ساوه 1,,
00,مرکزی,06,ساوه,03,مرکزی,2861,ساوه 2,5,ساوه 2,,
00,مرکزی,06,ساوه,04,نوبران,1111,غرق آباد,5,غرق آباد,,
00,مرکزی,06,ساوه,04,نوبران,2137,نوبران,5,نوبران,,
00,مرکزی,05,دلیجان,01,مرکزی,1106,دلیجان,5,دلیجان,,
00,مرکزی,05,دلیجان,01,مرکزی,1107,نراق,5,نراق,,
00,مرکزی,07,شازند,03,زالیان,2032,مهاجران,5,مهاجران,,
00,مرکزی,07,شازند,03,زالیان,2582,توره,5,توره,,
00,مرکزی,07,شازند,01,مرکزی,1112,آستانه,5,آستانه,,
00,مرکزی,07,شازند,01,مرکزی,1113,شازند,5,شازند,,
00,مرکزی,07,شازند,02,سربند,2380,هندودر,5,هندودر,,
00,مرکزی,12,خنداب,01,قره چای,2073,جاورسیان,5,جاورسیان,,
00,مرکزی,09,محلات,01,مرکزی,1115,محلات,5,محلات,,
00,مرکزی,09,محلات,01,مرکزی,1116,نیمور,5,نیمور,,
00,مرکزی,10,زرندیه,01,خرقان,2378,رازقان,5,رازقان,,
00,مرکزی,10,زرندیه,02,مرکزی,1109,مامونیه,5,مامونیه,,
00,مرکزی,10,زرندیه,02,مرکزی,2017,خشکرود,5,خشکرود,,
00,مرکزی,10,زرندیه,02,مرکزی,2228,پرندک,5,پرندک,,
00,مرکزی,10,زرندیه,03,زوایه,1108,زاویه,5,زاویه,,
00,مرکزی,11,کمیجان,01,مرکزی,1102,کمیجان,5,کمیجان,,
00,مرکزی,11,کمیجان,02,میلاجرد,2379,میلاجرد,5,میلاجرد,,
00,مرکزی,12,خنداب,02,مرکزی,2304,خنداب,5,خنداب,,
00,مرکزی,13,فراهان,01,مرکزی,2136,فرمهین,5,فرمهین,,
00,مرکزی,13,فراهان,02,خنجین,2773,خنجین,5,خنجین,,
00,مرکزی,13,فراهان,02,خنجین,2941,تلخاب,5,تلخاب,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,انجدان,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,انجیرک,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,جمالکه,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,حسن آباد,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,رودباران,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,زالو,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,ساق,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,سوارآباد,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,کاروانسرا,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,کودزر,,
00,مرکزی,01,اراک,02,مرکزی,0001,امان آباد,6,گیلی,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,داین,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,دربند مرزیجران,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,مهرآباد,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,رباط میربرات,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,ساقی,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,شمس آباد,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,طرلان,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,قزلیجه,,
00,مرکزی,01,اراک,02,مرکزی,0002,امیریه,6,پادگان امام علی (ع ),,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,خوشدون,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,ویسمه,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,شمس آباد,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,زرینه,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,عباس آباد,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,میره,,
00,مرکزی,01,اراک,02,مرکزی,0003,داودآباد,6,میر آباد,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,ایستگاه سمنگان,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,قانیاروق پایین,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,قانیاروق بالا,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,گردو,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,نظم آباد,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,خانه میران,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,خورزن علیا,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,قشلاق محمد قلی,,
00,مرکزی,01,اراک,02,مرکزی,0005,سده,6,کله نمک کور,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,ارکوین,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,بان,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,جمال آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,چشمه پهن,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,چنگزین,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,خرم آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,دینه کبود,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,ساکی سفلی,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,ساکی علیا,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,سیرکند,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,شمس آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,علیم آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,علی آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,گل تپه,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,گلشن آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,گوشه,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,معدن شمس آباد,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,نور عین,,
00,مرکزی,01,اراک,02,مرکزی,0006,شمس آباد,6,نیستان,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,ابراهیم آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,آزاد مرزآباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,ایبک آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,حر آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,شاهد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,دهلق,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,سوسن آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,کمال آباد بالا,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,کمال آباد پایین,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,محمدیه,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,مرادآباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,مشهد میقان,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,مصلح آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,راهزان,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,طرمزد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,مبارک آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,شهرک صنعتی ایبک آباد,,
00,مرکزی,01,اراک,02,مرکزی,0008,مشهد میقان,6,مرکز میوه و تره بار,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,احمدآباد,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,بغدادی,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,پادگان مالک اشتر,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,چقا,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,حسین آباد,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,رسول آباد,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,شرکت تولیدی برق,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,شهرک دانشگاهی دانشگاه آزاد,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,شهرجرد,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,فرودگاه  امام خمینی,,
00,مرکزی,01,اراک,02,مرکزی,0010,حاجی آباد,6,پدافند هوایی,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,بهادرستان,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,طور سینا,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,قلعه ارجناوند,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,کلاغ نشین,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,جام آباد,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,قطار آغاج  سفلی,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,گاوجلو,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,گنج گلی,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,لنجاب سفلی,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,فارسیجان,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,کرکان پایین,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,کرکان بالا,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,ناحیه صنعتی شهید فروزان,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,قلعه بالا ساروق,,
00,مرکزی,01,اراک,03,ساروق,0001,ساروق,6,بهادرستان سفلی,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,دیلم زار,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,فتح آباد,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,قاسم آباد,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,قهیه,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,گمیز,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,محمودیه,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,مسن آباد,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,مشکان,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,مشهد گرمه,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,نوازن,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,وزیر آباد,,
00,مرکزی,01,اراک,03,ساروق,0002,مشهدالکوبه,6,امامزاده علی بلاغی,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,انقان,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,قلعه نو,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,مراد آباد,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,شرکت تعاونی رایحه پردیس,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,موت آباد,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,تولید بذر علوفه کرک,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,کشت و صنعت زرین خوشه,,
00,مرکزی,01,اراک,04,معصومیه,0001,معصومیه,6,پادگان ولیعصر,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,موسی آباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,نیکچه,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,امروده بالا,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,بچه آباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,مزرعه جنت,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,مزرعه آلیانی,,
00,مرکزی,02,آشتیان,01,مرکزی,0002,گرکان,6,اسدآباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,امیرآباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,خوراک آباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,دوگوش,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,سرهرود,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,سعید آباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,کوشکک,,
00,مرکزی,02,آشتیان,01,مرکزی,0003,مزرعه نو,6,محمدآباد,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,لیلیان,,
00,مرکزی,04,خمین,01,مرکزی,0005,رستاق,6,گوشه محمد مالک,,
00,مرکزی,04,خمین,01,مرکزی,0005,رستاق,6,محمودآباد,,
00,مرکزی,04,خمین,01,مرکزی,0005,رستاق,6,نهشهر,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,امامزاده یوجان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,حاجی آباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,خوراوند,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,خوگان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,دیوکن,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,سیدآباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,قاسم آباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,قلته,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,قلعه یوجان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,مجدیان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,واپیله,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,ارزقان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,اکبرآباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,حسین آباد سادات,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,رازان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,تانجران,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,قلعه افشار,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,میشیجان سفلی,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,جعفرآباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,حیدر آباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,زورقان,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,قلعه محمدآباد,,
00,مرکزی,04,خمین,01,مرکزی,0006,صالحان,6,محمودآباد,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,محمدآباد,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,مزرعه حسین علیا,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,میبران,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,خیرآباد,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,اسفنجه,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,چشمه حق وردی,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,کوکه,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,رباط سفلی,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,رباط علیا,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,ایستگاه تحقیقات حبوبات,,
00,مرکزی,04,خمین,02,کمره,0002,خرم دشت,6,سعید آباد,,
00,مرکزی,05,دلیجان,01,مرکزی,0001,دودهک,6,دانی آباد,,
00,مرکزی,05,دلیجان,01,مرکزی,0001,دودهک,6,دودهک,,
00,مرکزی,05,دلیجان,01,مرکزی,0001,دودهک,6,عبدالعلی,,
00,مرکزی,05,دلیجان,01,مرکزی,0001,دودهک,6,بهاریه,,
00,مرکزی,05,دلیجان,01,مرکزی,0001,دودهک,6,چنارستان,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,مهمانشهر شهید قریی,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,چشمه خورزن,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,سهل آباد,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,شانق,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,شهسواران,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,قلعه مشک آباد,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,لته در,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,میرآباد,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,علی آباد,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,شهرک صنعتی خیرآباد,,
00,مرکزی,01,اراک,04,معصومیه,0002,مشک آباد,6,شهر جدید امیرکبیر,,
00,مرکزی,02,آشتیان,01,مرکزی,0001,سیاوشان,6,نورآباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0001,سیاوشان,6,جعفرآباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0001,سیاوشان,6,چشمه اله وردی,,
00,مرکزی,02,آشتیان,01,مرکزی,0001,سیاوشان,6,زنگ آباد,,
00,مرکزی,02,آشتیان,01,مرکزی,0001,سیاوشان,6,صفرآباد,,
